order_id,item_id,product_id,quantity,list_price,discount
1,1,20,1,599.99,0.2
1,2,8,2,1799.99,0.07
1,3,10,2,1549,0.05
1,4,16,2,599.99,0.05
1,5,4,1,2899.99,0.2
2,1,20,1,599.99,0.07
2,2,16,2,599.99,0.05
3,1,3,1,999.99,0.05
3,2,20,1,599.99,0.05
4,1,2,2,749.99,0.1
5,1,10,2,1549,0.05
5,2,17,1,429,0.07
5,3,26,1,599.99,0.07
6,1,18,1,449,0.07
6,2,12,2,549.99,0.05
6,3,20,1,599.99,0.1
6,4,3,2,999.99,0.07
6,5,9,2,2999.99,0.07
7,1,15,1,529.99,0.07
7,2,3,1,999.99,0.1
7,3,17,2,429,0.1
8,1,22,1,269.99,0.05
8,2,20,2,599.99,0.07
9,1,7,2,3999.99,0.1
10,1,14,1,269.99,0.1
11,1,8,1,1799.99,0.05
11,2,22,2,269.99,0.1
11,3,16,2,599.99,0.2
12,1,4,2,2899.99,0.1
12,2,11,1,1680.99,0.05
13,1,13,1,269.99,0.1
13,2,17,2,429,0.05
13,3,20,2,599.99,0.1
13,4,16,2,599.99,0.05
14,1,6,1,469.99,0.07
15,1,12,2,549.99,0.07
15,2,8,1,1799.99,0.07
15,3,18,2,449,0.05
15,4,23,2,299.99,0.2
16,1,8,1,1799.99,0.2
16,2,21,1,269.99,0.05
16,3,13,2,269.99,0.07
16,4,14,1,269.99,0.07
17,1,8,1,1799.99,0.07
17,2,23,1,299.99,0.1
17,3,5,1,1320.99,0.1
17,4,20,2,599.99,0.2
18,1,2,2,749.99,0.2
18,2,22,1,269.99,0.05
18,3,7,1,3999.99,0.1
18,4,25,2,499.99,0.05
18,5,9,2,2999.99,0.1
19,1,10,1,1549,0.07
19,2,9,2,2999.99,0.2
20,1,9,1,2999.99,0.07
20,2,10,2,1549,0.07
21,1,14,1,269.99,0.05
21,2,17,1,429,0.1
21,3,10,1,1549,0.07
22,1,15,2,529.99,0.2
22,2,22,1,269.99,0.05
23,1,4,2,2899.99,0.05
23,2,23,2,299.99,0.1
23,3,13,1,269.99,0.2
24,1,3,2,999.99,0.1
24,2,18,2,449,0.07
25,1,23,2,299.99,0.2
25,2,10,2,1549,0.2
25,3,22,1,269.99,0.2
25,4,14,1,269.99,0.2
25,5,21,1,269.99,0.1
26,1,7,1,3999.99,0.05
26,2,2,1,749.99,0.2
26,3,12,1,549.99,0.2
26,4,21,2,269.99,0.07
27,1,5,1,1320.99,0.2
27,2,19,1,449,0.2
27,3,26,2,599.99,0.07
27,4,8,1,1799.99,0.07
28,1,5,1,1320.99,0.05
28,2,7,2,3999.99,0.2
28,3,14,2,269.99,0.1
28,4,6,1,469.99,0.05
29,1,24,2,549.99,0.05
29,2,6,1,469.99,0.2
29,3,21,2,269.99,0.1
29,4,8,1,1799.99,0.2
29,5,14,2,269.99,0.05
30,1,26,1,599.99,0.05
30,2,17,1,429,0.07
30,3,19,1,449,0.1
30,4,4,1,2899.99,0.1
30,5,7,2,3999.99,0.1
31,1,11,2,1680.99,0.05
31,2,9,2,2999.99,0.2
32,1,8,2,1799.99,0.07
32,2,12,2,549.99,0.07
32,3,25,2,499.99,0.1
33,1,23,2,299.99,0.07
33,2,7,1,3999.99,0.1
